Job,Operation,Machine,Start,Duration,End
1,1,3,12,3,15
1,2,4,18,4,22
1,3,8,22,2,24
2,1,1,0,4,4
2,2,4,5,3,8
2,3,6,8,3,11
3,1,2,9,5,14
3,2,5,18,2,20
3,3,8,20,2,22
4,1,3,0,4,4
4,2,5,4,5,9
4,3,6,11,3,14
5,1,1,10,4,14
5,2,5,20,1,21
5,3,6,21,3,24
6,1,3,8,4,12
6,2,4,16,2,18
6,3,9,18,5,23
7,1,2,2,2,4
7,2,4,8,4,12
7,3,8,12,3,15
8,1,1,4,3,7
8,2,5,9,5,14
8,3,7,14,3,17
9,1,3,4,4,8
9,2,4,12,1,13
9,3,9,13,5,18
10,1,1,7,3,10
10,2,4,13,3,16
10,3,6,16,4,20
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,2,4,5,9
12,2,5,14,4,18
12,3,7,18,4,22
