Job,Operation,Machine,Start,Duration,End
1,1,1,9,2,11
1,2,4,15,4,19
1,3,8,19,2,21
2,1,2,7,5,12
2,2,4,19,3,22
2,3,6,22,3,25
3,1,3,11,4,15
3,2,5,20,2,22
3,3,8,22,2,24
4,1,2,0,3,3
4,2,5,3,5,8
4,3,6,10,3,13
5,1,3,8,3,11
5,2,5,17,1,18
5,3,7,18,4,22
6,1,1,3,6,9
6,2,4,13,2,15
6,3,7,15,3,18
7,1,2,3,2,5
7,2,4,6,4,10
7,3,8,10,3,13
8,1,3,0,4,4
8,2,5,8,5,13
8,3,6,13,3,16
9,1,1,11,2,13
9,2,5,18,2,20
9,3,9,20,5,25
10,1,1,0,3,3
10,2,4,3,3,6
10,3,6,6,4,10
11,1,2,5,2,7
11,2,4,10,3,13
11,3,9,13,5,18
12,1,3,4,4,8
12,2,5,13,4,17
12,3,6,17,3,20
