Job,Operation,Machine,Start,Duration,End
1,1,1,0,2,2
1,2,4,2,4,6
1,3,8,6,2,8
2,1,3,7,4,11
2,2,4,12,3,15
2,3,6,16,3,19
3,1,2,8,5,13
3,2,5,13,2,15
3,3,8,15,2,17
4,1,2,0,3,3
4,2,5,4,5,9
4,3,6,9,3,12
5,1,3,0,3,3
5,2,5,3,1,4
5,3,6,4,3,7
6,1,3,3,4,7
6,2,4,7,2,9
6,3,7,9,3,12
7,1,2,13,2,15
7,2,4,18,4,22
7,3,8,22,3,25
8,1,1,12,3,15
8,2,5,15,5,20
8,3,6,20,3,23
9,1,1,2,2,4
9,2,4,6,1,7
9,3,9,7,5,12
10,1,1,4,3,7
10,2,4,9,3,12
10,3,6,12,4,16
11,1,1,7,5,12
11,2,4,15,3,18
11,3,9,18,5,23
12,1,2,3,5,8
12,2,5,9,4,13
12,3,7,13,4,17
