Job,Operation,Machine,Start,Duration,End
1,1,1,0,2,2
1,2,4,2,4,6
1,3,8,6,2,8
2,1,1,10,4,14
2,2,4,18,3,21
2,3,6,21,3,24
3,1,3,11,4,15
3,2,5,20,2,22
3,3,8,22,2,24
4,1,2,0,3,3
4,2,5,3,5,8
4,3,6,8,3,11
5,1,3,0,3,3
5,2,5,8,1,9
5,3,7,9,4,13
6,1,3,3,4,7
6,2,4,12,2,14
6,3,7,14,3,17
7,1,3,7,4,11
7,2,4,14,4,18
7,3,8,18,3,21
8,1,1,7,3,10
8,2,5,15,5,20
8,3,7,20,3,23
9,1,1,5,2,7
9,2,5,9,2,11
9,3,8,11,6,17
10,1,1,2,3,5
10,2,4,9,3,12
10,3,6,12,4,16
11,1,2,3,2,5
11,2,4,6,3,9
11,3,9,9,5,14
12,1,2,5,5,10
12,2,5,11,4,15
12,3,6,16,3,19
