Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,18,4,22
1,3,6,22,2,24
2,1,1,8,4,12
2,2,4,15,3,18
2,3,6,19,3,22
3,1,3,8,4,12
3,2,5,14,2,16
3,3,7,16,4,20
4,1,3,0,4,4
4,2,5,8,5,13
4,3,6,13,3,16
5,1,2,4,5,9
5,2,5,13,1,14
5,3,6,16,3,19
6,1,3,4,4,8
6,2,4,10,2,12
6,3,7,12,3,15
7,1,2,2,2,4
7,2,4,5,4,9
7,3,8,9,3,12
8,1,1,0,3,3
8,2,5,3,5,8
8,3,6,8,3,11
9,1,1,3,2,5
9,2,4,9,1,10
9,3,9,10,5,15
10,1,1,5,3,8
10,2,4,12,3,15
10,3,8,15,6,21
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,2,9,5,14
12,2,5,16,4,20
12,3,7,20,4,24
