Job,Operation,Machine,Start,Duration,End
1,1,2,12,2,14
1,2,4,18,4,22
1,3,6,22,2,24
2,1,3,4,4,8
2,2,4,10,3,13
2,3,6,14,3,17
3,1,3,0,4,4
3,2,5,4,2,6
3,3,8,6,2,8
4,1,2,2,3,5
4,2,5,6,5,11
4,3,8,11,5,16
5,1,1,5,4,9
5,2,5,11,1,12
5,3,7,12,4,16
6,1,3,8,4,12
6,2,4,16,2,18
6,3,7,18,3,21
7,1,2,0,2,2
7,2,4,3,4,7
7,3,6,7,3,10
8,1,1,9,3,12
8,2,5,16,5,21
8,3,7,21,3,24
9,1,1,0,2,2
9,2,4,2,1,3
9,3,9,3,5,8
10,1,1,2,3,5
10,2,4,7,3,10
10,3,6,10,4,14
11,1,2,10,2,12
11,2,4,13,3,16
11,3,9,16,5,21
12,1,2,5,5,10
12,2,5,12,4,16
12,3,6,17,3,20
