Job,Operation,Machine,Start,Duration,End
1,1,2,0,2,2
1,2,4,2,4,6
1,3,8,6,2,8
2,1,1,8,4,12
2,2,4,16,3,19
2,3,6,19,3,22
3,1,3,12,4,16
3,2,5,19,2,21
3,3,8,21,2,23
4,1,2,2,3,5
4,2,5,8,5,13
4,3,6,15,3,18
5,1,2,7,5,12
5,2,5,18,1,19
5,3,9,19,5,24
6,1,3,8,4,12
6,2,4,19,2,21
6,3,7,21,3,24
7,1,3,4,4,8
7,2,4,12,4,16
7,3,8,16,3,19
8,1,1,5,3,8
8,2,5,13,5,18
8,3,7,18,3,21
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,2,3,5
10,2,4,6,3,9
10,3,6,11,4,15
11,1,2,5,2,7
11,2,4,9,3,12
11,3,9,12,5,17
12,1,3,0,4,4
12,2,5,4,4,8
12,3,6,8,3,11
