Job,Operation,Machine,Start,Duration,End
1,1,1,10,2,12
1,2,4,18,4,22
1,3,8,22,2,24
2,1,3,8,4,12
2,2,4,15,3,18
2,3,7,18,4,22
3,1,3,12,4,16
3,2,5,18,2,20
3,3,8,20,2,22
4,1,2,9,3,12
4,2,5,13,5,18
4,3,6,20,3,23
5,1,1,3,4,7
5,2,5,8,1,9
5,3,9,9,5,14
6,1,3,0,4,4
6,2,4,6,2,8
6,3,6,9,4,13
7,1,2,0,2,2
7,2,4,2,4,6
7,3,6,6,3,9
8,1,1,0,3,3
8,2,5,3,5,8
8,3,7,8,3,11
9,1,2,4,5,9
9,2,4,11,1,12
9,3,9,14,5,19
10,1,1,7,3,10
10,2,4,12,3,15
10,3,6,16,4,20
11,1,2,2,2,4
11,2,4,8,3,11
11,3,8,11,6,17
12,1,3,4,4,8
12,2,5,9,4,13
12,3,6,13,3,16
