Job,Operation,Machine,Start,Duration,End
1,1,2,0,2,2
1,2,4,2,4,6
1,3,6,6,2,8
2,1,1,2,4,6
2,2,4,6,3,9
2,3,7,9,4,13
3,1,3,8,4,12
3,2,5,18,2,20
3,3,8,22,2,24
4,1,1,6,4,10
4,2,5,13,5,18
4,3,6,18,3,21
5,1,1,10,4,14
5,2,5,20,1,21
5,3,6,21,3,24
6,1,3,12,4,16
6,2,4,19,2,21
6,3,7,21,3,24
7,1,2,9,2,11
7,2,4,15,4,19
7,3,8,19,3,22
8,1,2,2,5,7
8,2,5,8,5,13
8,3,7,13,3,16
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,3,4,4,8
10,2,4,9,3,12
10,3,6,12,4,16
11,1,2,7,2,9
11,2,4,12,3,15
11,3,9,15,5,20
12,1,3,0,4,4
12,2,5,4,4,8
12,3,6,8,3,11
