Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,17,4,21
1,3,8,21,2,23
2,1,1,2,4,6
2,2,4,6,3,9
2,3,7,9,4,13
3,1,2,2,5,7
3,2,5,10,2,12
3,3,8,12,2,14
4,1,3,0,4,4
4,2,5,4,5,9
4,3,6,9,3,12
5,1,3,4,3,7
5,2,5,9,1,10
5,3,6,12,3,15
6,1,2,9,5,14
6,2,4,15,2,17
6,3,9,17,5,22
7,1,2,0,2,2
7,2,4,2,4,6
7,3,6,6,3,9
8,1,1,9,3,12
8,2,5,16,5,21
8,3,6,21,3,24
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,6,3,9
10,2,4,12,3,15
10,3,6,15,4,19
11,1,2,7,2,9
11,2,4,9,3,12
11,3,9,12,5,17
12,1,3,7,4,11
12,2,5,12,4,16
12,3,7,16,4,20
