Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,18,4,22
1,3,8,22,2,24
2,1,2,2,5,7
2,2,4,9,3,12
2,3,6,13,3,16
3,1,2,7,5,12
3,2,5,13,2,15
3,3,6,16,3,19
4,1,3,4,4,8
4,2,5,8,5,13
4,3,8,13,5,18
5,1,3,12,3,15
5,2,5,19,1,20
5,3,7,20,4,24
6,1,3,8,4,12
6,2,4,12,2,14
6,3,7,14,3,17
7,1,2,12,2,14
7,2,4,14,4,18
7,3,8,18,3,21
8,1,1,0,3,3
8,2,5,3,5,8
8,3,7,8,3,11
9,1,3,0,4,4
9,2,4,5,1,6
9,3,8,6,6,12
10,1,1,3,3,6
10,2,4,6,3,9
10,3,6,9,4,13
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,1,6,6,12
12,2,5,15,4,19
12,3,6,19,3,22
