Job,Operation,Machine,Start,Duration,End
1,1,1,13,2,15
1,2,4,17,4,21
1,3,6,21,2,23
2,1,1,2,4,6
2,2,4,6,3,9
2,3,9,9,4,13
3,1,2,9,5,14
3,2,5,19,2,21
3,3,8,21,2,23
4,1,3,0,4,4
4,2,5,4,5,9
4,3,6,9,3,12
5,1,1,6,4,10
5,2,5,14,1,15
5,3,7,15,4,19
6,1,3,4,4,8
6,2,4,9,2,11
6,3,7,11,3,14
7,1,2,0,2,2
7,2,4,2,4,6
7,3,8,6,3,9
8,1,2,2,5,7
8,2,5,9,5,14
8,3,6,14,3,17
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,10,3,13
10,2,4,14,3,17
10,3,6,17,4,21
11,1,2,7,2,9
11,2,4,11,3,14
11,3,9,14,5,19
12,1,3,8,4,12
12,2,5,15,4,19
12,3,7,19,4,23
