Job,Operation,Machine,Start,Duration,End
1,1,2,5,2,7
1,2,4,11,4,15
1,3,8,15,2,17
2,1,1,3,4,7
2,2,4,8,3,11
2,3,6,12,3,15
3,1,3,11,4,15
3,2,5,20,2,22
3,3,8,22,2,24
4,1,2,2,3,5
4,2,5,8,5,13
4,3,6,15,3,18
5,1,3,4,3,7
5,2,5,13,1,14
5,3,7,14,4,18
6,1,2,9,5,14
6,2,4,19,2,21
6,3,7,21,3,24
7,1,2,7,2,9
7,2,4,15,4,19
7,3,8,19,3,22
8,1,1,0,3,3
8,2,5,3,5,8
8,3,7,8,3,11
9,1,1,7,2,9
9,2,5,14,2,16
9,3,9,16,5,21
10,1,3,0,4,4
10,2,4,5,3,8
10,3,6,8,4,12
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,3,7,4,11
12,2,5,16,4,20
12,3,6,20,3,23
