Test,Objective,IterationReachBest
1,24.0,15
2,24.0,1
3,24.0,9
4,24.0,1
5,24.0,17
6,24.0,15
7,24.0,2
8,24.0,9
9,24.0,4
10,25.0,2
MinObj,24.0
MaxObj,25.0
MeanObj,24.10
MinIter,1
MaxIter,17
MeanIter,7.50
